"sim_id","progress"
96083250,0.12
74276136,0.12
56253692,0.12
20539338,0.11
84307818,0.18
67755740,0.18
29722175,0.15
80223740,0.14
74799730,0.14
96452094,0.14
16349355,0.14
87684917,0.17
61401336,0.13
80114206,0.13
48777054,0.13
89682611,0.14
13848946,0.14
33457098,0.14
44287610,0.13
12130323,0.13
60716723,0.13
25040905,0.14
13517405,0.13
34956597,0.15
69953790,0.12
73648019,0.13
93390844,0.16
51243281,0.15
96469148,0.15
71380162,0.16
51185497,0.16
76403449,0.15
37392181,0.16
34983432,0.18
97517669,0.18
13104538,0.19
16293018,0.14
96689140,0.14
53088837,0.14
65866674,0.14
65042840,0.14
48197915,0.14
23255269,0.14
86676444,0.14
41324024,0.16
90905499,0.14
39565411,0.16
61815326,0.19
28637767,0.19
67686057,0.16
85494464,0.15
83811326,0.16
94556361,0.15
76958847,0.19
59140568,0.18
90317615,0.15
23444062,0.14
45734833,0.15
91327432,0.16
54461792,0.15
76339874,0.15
95127834,0.14
86779144,0.16
95450021,0.16
51640637,0.1
22739429,0.11
59938538,0.11
67076441,0.11
71701218,0.11
24109295,0.11
34310112,0.1
14280701,0.12
67773534,0.1
27842077,0.1
90674296,0.11
41038190,0.11
30111625,0.16
61537352,0.16
38968818,0.15
93540850,0.16
69484304,0.15
43029738,0.14
70228085,0.15
12529961,0.14
61147681,0.13
13128431,0.14
97635529,0.14
39096717,0.14
47776635,0.14
61356992,0.14
41899752,0.14
13136261,0.15
94372324,0.17
81081621,0.19
29516005,0.17
88077858,0.16
18264387,0.1
42256953,0.11
61602211,0.1
27965718,0.1
83585459,0.09
56795167,0.13
70189458,0.12
49228496,0.14
85235699,0.16
68175427,0.18
19807897,0.18
56649443,0.14
97944001,0.13
37371113,0.14
25698594,0.13
22146799,0.15
88693229,0.15
37830425,0.14
14112731,0.17
84883631,0.19
33151828,0.19
10117443,0.16
44209505,0.14
33035916,0.14
67677410,0.15
22032759,0.14
80728141,0.15
73903110,0.15
40020258,0.15
76537334,0.15
59598022,0.15
43790008,0.15
28631148,0.15
62763888,0.14
13318729,0.16
13059564,0.16
43915268,0.15
29489458,0.19
69056123,0.15
84011031,0.15
33291690,0.16
58908626,0.16
76288327,0.16
59342219,0.15
89949524,0.14
73813909,0.16
19074930,0.15
81606861,0.14
94352533,0.14
21639063,0.1
12999131,0.1
